Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,545.0,558.9000244140625,542.5,555.5999755859375,540.7344360351562,830751
2017-07-03,559.0,559.9000244140625,548.8499755859375,551.8499755859375,537.0847778320312,490390
2017-07-04,557.7000122070312,558.0,543.2999877929688,545.0499877929688,530.4667358398438,559358
2017-07-05,546.0999755859375,547.7999877929688,541.4500122070312,545.9000244140625,531.2940063476562,833105
2017-07-06,546.3499755859375,547.9000244140625,540.0999755859375,542.8499755859375,528.3255615234375,556426
2017-07-07,542.5999755859375,552.0,541.5,547.1500244140625,532.5105590820312,893680
2017-07-10,560.0,560.0,546.0999755859375,549.2000122070312,534.5056762695312,123363
2017-07-11,550.5,552.6500244140625,536.0499877929688,538.4500122070312,524.0433349609375,1526837
2017-07-12,539.4500122070312,543.5,537.0,539.9500122070312,525.5032348632812,1039208
2017-07-13,540.2000122070312,544.4500122070312,538.8499755859375,543.6500244140625,529.1041870117188,694180
2017-07-14,544.25,551.1500244140625,540.8499755859375,548.0499877929688,533.3864135742188,960041
2017-07-17,549.0,559.0,546.7000122070312,556.5,541.6103515625,692893
2017-07-18,558.0,567.0,555.0999755859375,559.75,544.7733764648438,1319574
2017-07-19,560.2000122070312,569.4500122070312,560.2000122070312,568.25,553.0460205078125,761444
2017-07-20,569.0,577.0,562.6500244140625,571.9000244140625,556.598388671875,1090882
2017-07-21,570.0,570.0,560.1500244140625,566.2000122070312,551.0509033203125,672906
2017-07-24,564.0,575.5,562.0999755859375,569.75,554.505859375,873677
2017-07-25,571.0,571.4000244140625,562.4000244140625,564.4000244140625,549.2989501953125,510032
2017-07-26,564.7000122070312,577.4500122070312,563.5,575.4500122070312,562.0450439453125,864728
2017-07-27,573.7000122070312,579.4000244140625,565.0,568.7000122070312,555.4523315429688,1853099
2017-07-28,566.75,570.9000244140625,556.5,566.0999755859375,552.9127807617188,907951
2017-07-31,567.5499877929688,568.9500122070312,556.7999877929688,560.0999755859375,547.0526123046875,753415
2017-08-01,560.0999755859375,565.9000244140625,558.5,562.4500122070312,549.3478393554688,712732
2017-08-02,562.8499755859375,570.9000244140625,560.0,568.5499877929688,555.3057861328125,664681
2017-08-03,568.5499877929688,575.0,553.7999877929688,557.1500244140625,544.1713256835938,1065451
2017-08-04,551.9000244140625,571.7000122070312,543.0499877929688,568.7000122070312,555.4523315429688,1004233
2017-08-07,566.5,571.0999755859375,553.0,566.5,553.303466796875,769606
2017-08-08,560.7999877929688,580.0,560.7999877929688,578.5999755859375,565.1216430664062,1367344
2017-08-09,581.0,581.0,557.25,561.8499755859375,548.7617797851562,1801630
2017-08-10,560.0,569.8499755859375,541.5,548.2000122070312,535.4297485351562,1217416
2017-08-11,545.0,563.7000122070312,525.4500122070312,541.4000244140625,528.7882690429688,4337214
2017-08-14,560.0,576.0,552.0999755859375,570.0499877929688,556.770751953125,4029605
2017-08-16,569.5,593.7000122070312,561.0499877929688,590.4500122070312,576.6956176757812,1838012
2017-08-17,593.4000244140625,594.0,569.9000244140625,573.2000122070312,559.847412109375,1422631
2017-08-18,573.4000244140625,575.7999877929688,560.2000122070312,565.2999877929688,552.1314086914062,1680225
2017-08-21,566.9000244140625,570.0,555.1500244140625,561.75,548.6641235351562,1222907
2017-08-22,562.0499877929688,567.6500244140625,558.0,559.25,546.222412109375,848353
2017-08-23,561.7000122070312,565.0,556.6500244140625,559.1500244140625,546.124755859375,848822
2017-08-24,559.0,575.75,557.2999877929688,574.0499877929688,560.6776123046875,1866440
2017-08-28,575.5,581.0,570.5499877929688,574.0999755859375,560.7264404296875,905222
2017-08-29,570.5499877929688,574.0499877929688,564.5,568.9000244140625,555.6476440429688,608351
2017-08-30,574.0,576.0,565.5,566.3499755859375,553.1570434570312,596376
2017-08-31,570.0,578.0,562.0,571.9000244140625,558.5776977539062,1908728
2017-09-01,573.0,577.3499755859375,565.0999755859375,568.4000244140625,555.1593017578125,891591
2017-09-04,574.5,577.0,557.5499877929688,561.7000122070312,548.6152954101562,1731377
2017-09-05,564.7000122070312,565.8499755859375,556.9000244140625,559.5999755859375,546.5642700195312,928770
2017-09-06,558.9000244140625,560.5999755859375,553.8499755859375,558.2999877929688,545.2945556640625,581901
2017-09-07,560.0,561.0,551.2999877929688,554.2000122070312,541.2901000976562,885205
2017-09-08,554.5,558.0,549.1500244140625,552.0,539.141357421875,775272
2017-09-11,555.0999755859375,558.1500244140625,550.0,553.8499755859375,540.9481811523438,523800
2017-09-12,554.4000244140625,562.7999877929688,543.3499755859375,560.5,547.4432373046875,1330724
2017-09-13,556.0,562.0999755859375,552.5499877929688,554.4000244140625,541.4854125976562,1159840
2017-09-14,556.0,567.2999877929688,555.4500122070312,565.9500122070312,552.7662963867188,1600717
2017-09-15,564.8499755859375,565.75,556.5499877929688,561.4000244140625,548.3224487304688,926019
2017-09-18,563.2000122070312,572.1500244140625,560.6500244140625,570.7000122070312,557.4056396484375,649831
2017-09-19,571.7000122070312,574.5,564.5,573.4000244140625,560.0427856445312,675306
2017-09-20,572.5,573.7999877929688,565.2000122070312,569.7000122070312,556.4290161132812,759531
2017-09-21,570.0499877929688,594.0,570.0499877929688,591.9000244140625,578.1118774414062,3102522
